Ticker,Sector,Month_Start,Month_End_Close,Month_High,Month_Low,Avg_Close,Total_Volume,MoM_Return_%,Year,Month,Month_Number
HDFCBANK,Banking,2023-01-01,1656.92,1688.01,1612.11,1650.151818181818,90259580,,2023,Jan,1
HDFCBANK,Banking,2023-02-01,1694.12,1718.8,1639.04,1680.0104999999999,81101181,2.25,2023,Feb,2
HDFCBANK,Banking,2023-03-01,1719.77,1751.8,1658.47,1708.5352173913043,97787746,1.51,2023,Mar,3
HDFCBANK,Banking,2023-04-01,1736.23,1772.0,1690.57,1730.8349999999998,101674100,0.96,2023,Apr,4
HDFCBANK,Banking,2023-05-01,1747.64,1784.56,1706.13,1744.628695652174,96237676,0.66,2023,May,5
HDFCBANK,Banking,2023-06-01,1745.7,1780.82,1708.24,1748.8877272727273,103617659,-0.11,2023,Jun,6
HDFCBANK,Banking,2023-07-01,1765.48,1796.13,1711.63,1754.4914285714285,98142958,1.13,2023,Jul,7
HDFCBANK,Banking,2023-08-01,1779.46,1805.33,1729.93,1767.841304347826,107164970,0.79,2023,Aug,8
HDFCBANK,Banking,2023-09-01,1794.15,1823.74,1741.3,1784.1233333333332,102751363,0.83,2023,Sep,9
HDFCBANK,Banking,2023-10-01,1811.83,1854.12,1767.72,1807.57,118824354,0.99,2023,Oct,10
HDFCBANK,Banking,2023-11-01,1831.88,1864.26,1783.9,1826.603181818182,104332727,1.11,2023,Nov,11
HDFCBANK,Banking,2023-12-01,1854.97,1874.72,1801.16,1840.9409523809525,98416442,1.26,2023,Dec,12
HDFCBANK,Banking,2024-01-01,1880.73,1909.15,1835.57,1869.1234782608694,91430196,1.39,2024,Jan,1
HDFCBANK,Banking,2024-02-01,1879.36,1931.96,1841.02,1885.3628571428574,99668788,-0.07,2024,Feb,2
HDFCBANK,Banking,2024-03-01,1885.02,1923.39,1842.55,1880.3142857142857,109750894,0.3,2024,Mar,3
HDFCBANK,Banking,2024-04-01,1910.8,1941.58,1853.63,1898.6609090909092,100544369,1.37,2024,Apr,4
HDFCBANK,Banking,2024-05-01,1903.61,1949.26,1868.69,1908.5269565217393,108323513,-0.38,2024,May,5
HDFCBANK,Banking,2024-06-01,1919.68,1952.4,1871.77,1909.5220000000002,95202429,0.84,2024,Jun,6
HDFCBANK,Banking,2024-07-01,1909.26,1957.63,1866.51,1915.126956521739,106209442,-0.54,2024,Jul,7
HDFCBANK,Banking,2024-08-01,1925.71,1961.0,1875.3,1925.695909090909,92980315,0.86,2024,Aug,8
HDFCBANK,Banking,2024-09-01,1929.35,1966.1,1888.81,1926.3738095238095,92333702,0.19,2024,Sep,9
HDFCBANK,Banking,2024-10-01,1960.64,1993.19,1898.1,1945.393043478261,85829060,1.62,2024,Oct,10
HDFCBANK,Banking,2024-11-01,1979.53,2017.71,1924.85,1974.0204761904763,96674567,0.96,2024,Nov,11
HDFCBANK,Banking,2024-12-01,2011.21,2057.8,1938.47,1994.4381818181819,98619824,1.6,2024,Dec,12
HDFCBANK,Banking,2025-01-01,2036.61,2078.64,1975.33,2021.0052173913045,84943400,1.26,2025,Jan,1
HDFCBANK,Banking,2025-02-01,2071.26,2097.94,1993.78,2050.811,92247239,1.7,2025,Feb,2
HDFCBANK,Banking,2025-03-01,2090.6,2126.84,2033.09,2076.5519047619046,91495396,0.93,2025,Mar,3
HDFCBANK,Banking,2025-04-01,2124.03,2165.08,2048.88,2111.59,106008859,1.6,2025,Apr,4
HDFCBANK,Banking,2025-05-01,2148.76,2183.02,2093.36,2134.4572727272725,119636354,1.16,2025,May,5
HDFCBANK,Banking,2025-06-01,2175.47,2217.85,2112.43,2163.057619047619,100978009,1.24,2025,Jun,6
HDFCBANK,Banking,2025-07-01,2212.52,2261.1,2121.18,2187.768695652174,101287388,1.7,2025,Jul,7
HDFCBANK,Banking,2025-08-01,2212.98,2260.77,2161.75,2214.967619047619,96055230,0.02,2025,Aug,8
HDFCBANK,Banking,2025-09-01,2223.8,2267.12,2171.04,2218.2945454545456,103281207,0.49,2025,Sep,9
HDFCBANK,Banking,2025-10-01,2249.1,2301.86,2193.25,2239.4904347826086,105598518,1.14,2025,Oct,10
HDFCBANK,Banking,2025-11-01,2254.1,2304.69,2208.92,2257.498,95473768,0.22,2025,Nov,11
HDFCBANK,Banking,2025-12-01,2273.03,2313.91,2204.8,2258.3160869565218,93139475,0.84,2025,Dec,12
ICICIBANK,Banking,2023-01-01,965.44,983.32,932.84,957.1059090909092,85582354,,2023,Jan,1
ICICIBANK,Banking,2023-02-01,986.49,1005.15,950.73,975.9459999999999,90765613,2.18,2023,Feb,2
ICICIBANK,Banking,2023-03-01,1000.15,1020.12,967.98,990.2452173913043,103613718,1.38,2023,Mar,3
ICICIBANK,Banking,2023-04-01,1001.64,1020.09,975.12,998.3885,94025046,0.15,2023,Apr,4
ICICIBANK,Banking,2023-05-01,1016.15,1037.11,985.19,1006.6304347826087,112653964,1.45,2023,May,5
